code_prefix,item_number,code_suffix,product_type_name,product,size,category,item_description,item_class_code,jpeg,raw_image
L,101,"","","","","","LMF SENIOR 50#",FARMERS,"",""
L,201,"","","","","","LMF SUPER SUPP 'G' 50#",FARMERS,"",""
L,450,"","","","","","LMF GOLD 50#",FARMERS,"",""
L,600,"","","","","","LMF LOW-CARB STAGE 1 50#",FARMERS,"",""
L,650,"","","","","","LMF LOW CARB COMPLETE 50#",FARMERS,"",""
CS,701,"","NO MELT","SINGLE SUET BASKETS","8/ case","WILD BIRD SUET","","","",""
"",750,"","","","","","PEARLED BARLEY 50#",SINGLE,"",""
L,850,"","","","","","LMF PERFORMANCE 'G' 50#",FARMERS,"",""
L,901,"","","","","","LMF SHOW TIME 'G'  50#",FARMERS,"",""
"",1404,"","","","","","CHARCOAL 50#",SINGLE,"",""
"",2890,"","","","","","""BARLEY ROLLED 70#""",FARMERS,"",""
"",2902,"","","","","","""CORN ROLLED 70#""",FARMERS,"",""
"",2916,"","","","","","""OATS CRIMPED""",FARMERS,"",""
"",9550,"","","""BARLEY R/C MALT""",50,"RECLEANED GRAINS","""BARLEY R/C MALT 50#""",SINGLE,"",""
"",10000,"","","SUPER SCRATCH",50,GAMEBIRD,"SUPER SCRATCH 50#","GAME BIRD","",""
"",10000,"","","SUPER SCRATCH",50,GAMEBIRD,"SUPER SCRATCH 50#","GAME BIRD","",""
6,10002,"","","","","","BEST PET CANARY 6/2#",BEST,"",""
6,10004,"","","","","","BEST PET CANARY 6/4#",BEST,"",""
6,10020,"","","","","","BEST PET CANARY 20#",BEST,"",""
6,10020,"","","","","","BEST PET CANARY 20#",BEST,"",""
"",10025,"","","","","","BUCKWHEAT 25#",SINGLE,"",""
"",10025,"","","","","","BUCKWHEAT 25#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10050,"","",BUCKWHEAT,50,"SINGLE SEED","BUCKWHEAT 50#",SINGLE,"",""
"",10075,"","","SUPER SCRATCH",75,GAMEBIRD,"SUPER SCRATCH 75#","GAME BIRD","",""
"",10075,"","","SUPER SCRATCH",75,GAMEBIRD,"SUPER SCRATCH 75#","GAME BIRD","",""
6,10202,"","","","","","BEST PET FINCH 6/2#",BEST,"",""
6,10204,"","","","","","BEST PET FINCH 6/4#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10220,"","","","","","BEST PET FINCH 20#",BEST,"",""
6,10302,"","","","","","BEST PET COCKATIEL 6/2#",BEST,"",""
6,10304,"","","","","","BEST PET COCKATIEL 6/4#",BEST,"",""
6,10320,"","","","","","BEST PET COCKATIEL 20#",BEST,"",""
"",10350,"","","WINNER'S SCRATCH",50,GAMEBIRD,"WINNER'S SCRATCH 50#","GAME BIRD","",""
"",10375,"","","WINNER'S SCRATCH ",75,GAMEBIRD,"WINNER'S SCRATCH 75#","GAME BIRD","",""
6,10420,"","","","","","BEST PET LARGE HOOKBILL 20#",BEST,"",""
6,10435,"","","","","","BEST PET LARGE HOOKBILL 6/3.5#",BEST,"",""
"",10500,"","","","","","BANANA CHIPS 14#",SINGLE,"",""
6,10520,"","","","","","""BEST PET PARROT NO SUN 20#""",BEST,"",""
6,10535,"","","","","","""BEST PET PARROT NO SUN 6/3.5#""",BEST,"",""
"",10540,"","","","","","CARROT DICES 51#",SINGLE,"",""
"",10545,"","","","","","CARROT GRANULES 44#",SINGLE,"",""
6,10620,"","","","","","BEST PET MEDIUM HOOKBILL 20#",BEST,"",""
6,10620,"","","","","","BEST PET MEDIUM HOOKBILL 20#",BEST,"",""
6,10635,"","","","","","BEST PET MEDIUM HOOKBILL 6/3.5#",BEST,"",""
6,10720,"","","","","","BEST PET PARROT W/SUN 20#",BEST,"",""
6,10735,"","","","","","BEST PET PARROT W/SUN 6/3.5#",BEST,"",""
"",10750,"","","","","","""LENTILS RED 50#""",SINGLE,"",""
6,10802,"","","","","","BEST PET PARAKEET 6/2#",BEST,"",""
6,10804,"","","","","","BEST PET PARAKEET 6/4#",BEST,"",""
6,10820,"","","","","","BEST PET PARAKEET 20#",BEST,"",""
6,10820,"","","","","","BEST PET PARAKEET 20#",BEST,"",""
"",10850,"","","","","","""LENTILS COMMON""",SINGLE,"",""
"",10850,"","","","","","""LENTILS COMMON""",SINGLE,"",""
6,11002,"","","","","","BEST PET CONURE/LOVEBIRD/ PARROLET 6/2#",BEST,"",""
6,11004,"","","","","","BEST PET CONURE/LOVEBIRD/PARROTLET 6/4#",BEST,"",""
6,11020,"","","","","","BEST PET CONURE/LOVEBIRD/PARROTLET 20#",BEST,"",""
"",11025,"","","CANARY SEED",25,"SINGLE SEED","CANARY SEED 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939110256.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939110256+raw.nef
"",11050,"","","CANARY SEED",50,"SINGLE SEED","CANARY SEED 50#",SINGLE,"",""
"",11120,"","","","","","VP CANARY ENRICHED 20#","VP ENT","",""
7,11120,"","","","","","W B STATION PREM BLEND 20#","VK SPECIAL","",""
7,11140,"","","","","","W B STATION PREM BLEND 40#","VK SPECIAL","",""
"",11220,"","","","","","VP COCKATIEL ENRICHED 20#","VP ENT","",""
"",11306,"","","INDIAN CORN ON THE COB",5/6,"WILD BIRD","INDIAN CORN ON THE COB 5/6#",SINGLE,"",""
"",11320,"","","INDIAN CORN ON THE COB",20,"WILD BIRD","INDIAN CORN ON THE COB 20#",SINGLE,"",""
"",11406,"","","CORN ON THE COB",5/6,"WILD BIRD","CORN ON THE COB 5/6#",SINGLE,"",""
"",11420,"","","CORN ON THE COB",20,"WILD BIRD","CORN ON THE COB 20#",SINGLE,"",""
"",11520,"","","","","","VP FINCH ENRICHED 20#","VP ENT","",""
"",11525,"","","","","","""CORN DENT 25#""",SINGLE,"",""
"",11550,"","","""CORN R/C YELLOW""",50,"RECLEANED GRAINS","""CORN DENT 50#""",SINGLE,"",""
"",11620,"","","","","","VP HAMSTER ENRICHED/TREAT 20#","VP ENT","",""
"",11725,"","","""CORN CRACKED""",25,"RECLEANED GRAINS","CRACKED CORN 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939117255.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939117255+raw.nef
"",11750,"","","""CORN CRACKED""",50,"RECLEANED GRAINS","CRACKED CORN 50#",SINGLE,"",""
"",11820,"","","","","","VP PARAKEET ENRICHED 20#","VP ENT","",""
"",11920,"","","","","","VP PARROT ENRICHED 20#","VP ENT","",""
"",12025,"","",FLAX,25,"SINGLE SEED","FLAX SEED 25#",SINGLE,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939120255.jpg,https://s3-us-west-1.amazonaws.com/seedfactory/original_images/015939120255+raw.nef
"",12050,"","",FLAX,50,"SINGLE SEED","FLAX 50#",SINGLE,"",""
"",12120,"","","","","","VP COCKATIEL FORTIFIED 20#","VP ENT","",""
"",12125,"","",HEMP,25,"SINGLE SEED","HEMP SEED 25#",SINGLE,"",""
"",12140,"","","","","","VP COCKATIEL FORTIFIED 40#","VP ENT","",""
"",12150,"","",HEMP,50,"","HEMP 50#",SINGLE,"",""
CS,12501,"","HIGH ENERGY","HIGH ENERGY SUET","11.75 oz","WILD BIRD SUET","HIGH ENERGY SUET 12/CASE",SUET,"",""
CS,12507,"","NO MELT","PEANUT DELIGHT","11.75 oz","WILD BIRD SUET","PEANUT DELIGHT 12/CASE",SUET,"",""
CS,12509,"","HIGH ENERGY","PEANUT TREAT","11 oz","WILD BIRD SUET","PEANUT TREAT 12/CASE",SUET,"",""
CS,12513,"","HIGH ENERGY","PARTY MIX","11 oz","WILD BIRD SUET","PARTY MIX 12/CASE",SUET,"",""
CS,12517,"","NO MELT","CALCIUM DELIGHT ","13.25 oz","WILD BIRD SUET","CALCIUM DELIGHT 12/CASE",SUET,"",""
CS,12529,"","NO MELT","ORANGE DELIGHT ","11.75 oz","WILD BIRD SUET","ORANGE DELIGHT 12/CASE",SUET,"",""
CS,12533,"","NO MELT","INSECT DELIGHT","11.75 oz","WILD BIRD SUET","INSECT DELIGHT 12/CASE",SUET,"",""
CS,12543,"","NO MELT","BERRY DELIGHT","11.75 oz","WILD BIRD SUET","BERRY DELIGHT 12/CASE",SUET,"",""
"",12552,"","","","","","HEMP SEED 6/2#",SINGLE,"",""
CS,12553,"","NO MELT","HOT PEPPER DELIGHT","11.75 oz","WILD BIRD SUET","HOT PEPPER DELIGHT 12/CASE",SUET,"",""
CS,12559,"","HIGH ENERGY","NUTTY TREAT","11.75 oz","WILD BIRD SUET","NUTTY TREAT 12/CASE",SUET,"",""
CS,12561,"","HIGH ENERGY","ORANGE TREAT","11.75 oz","WILD BIRD SUET","ORANGE TREAT 12/CASE",SUET,"",""
CS,12571,"","NO MELT","WOODPECKER DELIGHT","11.75 oz","WILD BIRD SUET","WOODPECKER DELIGHT NO MELT 12/CASE",SUET,"",""
CS,12581,"","NO MELT","PEANUT BUTTER DELIGHT","11.75 oz","WILD BIRD SUET","PEANUT BUTTER DELIGHT 12/CASE",SUET,"",""
CS,12583,"","NO MELT","MEALWORM DELIGHT","11.75 oz","WILD BIRD SUET","MEALWORM DELIGHT 12/CASE",SUET,"",""
"",12625,"","","","","","VP PARROT FORTIFIED 25#","VP ENT","",""
"",12650,"","","","","","VP PARROT FORTIFIED 50#","VP ENT","",""
"",12820,"","","","","","VP LARGE HOOKBILL FORTIFIED 20#","VP ENT","",""
"",12840,"","","","","","VP LARGE HOOKBILL FORTIFIED 40#","VP ENT","",""
6,13004,"","","","","","BEST PET GUINEA PIG 6/4#",BEST,"",""
6,13020,"","","","","","BEST PET GUINEA PIG 20#",BEST,"",""
"",13025,"","","","","","VP CANARY ROLLER MIX 25#","VP ENT","",""
"",13050,"","","","","","VP CANARY ROLLER MIX 50#","VP ENT","",""
"",13125,"","","","","","VP COCKATIEL PREMIUM 25#","VP ENT","",""
"",13150,"","","","","","VP COCKATIEL PREMIUM 50#","VP ENT","",""
"",13225,"","","","","","VP COCKATIEL SPECIAL W/SUNFLOWER 25#","VP ENT","",""
"",13250,"","","","","","VP COCKATIEL SPECIAL W/SUNFLOWER 50#","VP ENT","",""
6,13420,"","","","","","""BEST PET HAMSTER MICE RATS 20#""",BEST,"",""
6,13424,"","","","","","""BEST PET HAMSTER MICE RATS 6/24OZ""",BEST,"",""
"",13425,"","","","","","VP DOVE & QUAIL 25#","VP ENT","",""
6,13435,"","","","","","""BEST PET HAMSTER MICE RATS 6/3.5#""",BEST,"",""
"",13450,"","","","","","VP DOVE & QUAIL 50#","VP ENT","",""
6,13501,"","","","","","BEST PET PREMIUM EGGFOOD 6/1#",BEST,"",""
6,13515,"","","","","","BEST PET PREMIUM EGGFOOD 15#",BEST,"",""
"",13525,"","","","","","VP FINCH PREMIUM 25#","VP ENT","",""
"",13550,"","","","","","VP FINCH PREMIUM 50#","VP ENT","",""
6,13601,"","","","","","BEST PET PREMIUM RED EGGFOOD 6/1#",BEST,"",""
"",13625,"","","","","","VP SMALL HOOKBILL 25#","VP ENT","",""
"",13650,"","","","","","VP SMALL HOOKBILL 50#","VP ENT","",""
6,13704,"","","","","","BEST PET RABBIT PELLETS 6/4#",BEST,"",""
6,13708,"","","","","","BEST PET RABBIT PELLETS 5/8#",BEST,"",""
6,13720,"","","","","","BEST PET RABBIT PELLETS 20#",BEST,"",""
