"INGREDIENT_ID","COMPANY_ID","INGREDIENT_NUMBER","INGREDIENT_DESCRIPTION","CWT","INGREDIENT_COST","PROTEIN","FAT","FIBER","ASH","CALCIUM","PHOSPHOURS","VITA_A","VITA_D3","VITA_E","VITA_K","VITA_B12","RIBO","MET_ENERGY","PANTO","NIACIN"
580,1,1002,"ALFALFA CUBES","100",21.20,16.00,,,,,,,,,,,,,,
581,1,1417,"NUTS, ALMOND IN-SHELL","100",135.00,,,,,,,,,,,,,,,
582,1,1010,"ALLSPICE, WHOLE","100",295.00,,,,,,,,,,,,,,,
583,1,1040,"ANISE, STAR 100#","100",175.50,,,,,,,,,,,,,,,
584,1,1090,"BEAN MIX ""8""","100",57.00,23.40,1.15,1.83,0.84,,,,,,,,,,,
586,1,1110,"BEANS, GREEN BABY LIMAS","100",66.88,24.00,,,,,,,,,,,,,,
587,1,1105,"BEANS, DARK RED KIDNEY","100",82.00,24.00,,,,,,,,,,,,,,
588,1,1115,"BEANS, LIGHT RED KIDNEY","100",74.76,24.00,,,,,,,,,,,,,,
589,1,1135,"BEANS, WHITE  NAVY","100",61.80,24.00,,,,,,,,,,,,,,
590,1,1070,"BANANA CHIPS WHOLE 14 LB. CASE","100",125.00,1.70,31.70,0.70,1.20,,,,,,,,,,,
592,1,1125,"BEANS, PINTO'S","100",74.00,24.00,,,,,,,,,,,,,,
593,1,1130,"BEANS, SMALL RED","100",65.40,24.00,3.00,,,,,,,,,,,,,
594,1,1095,"BEANS,  BLACKEYES","100",71.94,24.00,4.00,,,,,,,,,,,,,
595,1,1100,"BEANS, BLACK TURTLES","100",66.16,24.00,,,,,,,,,,,,,,
596,1,1263,"CRACKER SEED PRE-MIX","100",64.00,,,,,,,,,,,,,,,
599,1,1201,"CINNAMON STICKS","100",90.50,,,,,,,,,,,,,,,
600,1,1945,"SPINACH  FLAKES","100",276.35,,,,,,,,,,,,,,,
602,1,1203,"COCONUT, CHIPS MED","100",160.00,,,,,,,,,,,,,,,
603,1,1220,"COPPER SULFATE","100",165.00,,,,,,,,,,,,,,,
607,1,1145,"BUCKWHEAT","100",50.00,11.25,2.50,11.50,2.50,0.09,0.32,,,,,,5.50,2660.00,12.00,19.00
608,1,1310,"FLAX SEED","100",37.23,23.00,34.50,11.10,3.80,,,,,,,,,,,
613,1,1160,"CANARY GRASS SEED","100",39.25,16.90,5.90,6.60,5.20,0.05,0.55,0.00,0.00,0.00,0.00,0.00,0.00,2140.00,0.00,0.00
614,1,1165,"CARAWAY  SEED","100",188.00,,,,,,,,,,,,,,,
615,1,1185,"CARROT GRANULES","100",86.00,7.00,1.50,6.90,6.50,,,,,,,,,,,
616,1,1180,"CARROT DICES  55#","100",135.00,7.00,1.50,6.90,6.60,,,,,,,,,,,
