id,company_id,number,description,jobber,distributor,wholesale,dealer,retail,online
2,1,10.00,,75.00,85.00,95.00,105.00,50.00,50.00
3,1,15.00,,80.00,90.00,100.00,115.00,50.00,50.00
4,1,20.00,"Single Seed Markups",90.00,100.00,110.00,120.00,50.00,50.00
5,1,25.00,"Wild Bird Mix's",95.00,105.00,115.00,130.00,50.00,50.00
6,1,30.00,,100.00,110.00,120.00,140.00,50.00,50.00
7,1,35.00,"El Rey Custom Mix",120.00,130.00,140.00,160.00,50.00,50.00
8,1,40.00,"Standard Game Bird/Pigeon",125.00,135.00,160.00,180.00,50.00,50.00
9,1,45.00,"Custom Game Bird /Pigeon",125.00,140.00,165.00,190.00,50.00,50.00
10,1,50.00,,135.00,150.00,170.00,205.00,50.00,50.00
11,1,55.00,,140.00,160.00,180.00,215.00,50.00,50.00
12,1,60.00,,145.00,165.00,185.00,225.00,50.00,50.00
13,1,65.00,,150.00,175.00,195.00,235.00,50.00,50.00
14,1,70.00,,155.00,180.00,215.00,255.00,50.00,50.00
15,1,75.00,,160.00,185.00,225.00,275.00,50.00,50.00
16,1,80.00,,165.00,190.00,240.00,305.00,50.00,50.00
17,1,85.00,,170.00,220.00,250.00,330.00,50.00,50.00
18,1,90.00,,180.00,230.00,275.00,355.00,50.00,50.00
19,1,95.00,,190.00,235.00,300.00,370.00,50.00,50.00
20,1,100.00,,200.00,240.00,310.00,420.00,50.00,50.00
21,1,105.00,,225.00,280.00,320.00,460.00,50.00,50.00
22,1,110.00,,230.00,290.00,330.00,550.00,50.00,50.00
23,1,115.00,,235.00,300.00,340.00,600.00,50.00,50.00
24,1,120.00,,250.00,350.00,375.00,650.00,50.00,50.00
25,1,125.00,,275.00,375.00,450.00,700.00,50.00,50.00
26,1,127.00,,300.00,390.00,490.00,760.00,50.00,50.00
27,1,128.00,,325.00,425.00,530.00,790.00,50.00,50.00
28,1,130.00,,340.00,450.00,600.00,810.00,50.00,50.00
29,1,135.00,,350.00,470.00,620.00,915.00,50.00,50.00
30,1,140.00,,420.00,520.00,780.00,1200.00,50.00,50.00
31,1,145.00,,500.00,600.00,820.00,1340.00,50.00,50.00
32,1,150.00,,600.00,700.00,1030.00,1550.00,50.00,50.00
33,1,155.00,,700.00,800.00,1270.00,1790.00,50.00,50.00
34,1,160.00,,1300.00,1650.00,1875.00,2650.00,50.00,50.00
35,1,165.00,,1400.00,1800.00,1950.00,2790.00,50.00,50.00
36,1,170.00,,1700.00,1900.00,2240.00,3150.00,50.00,50.00
40,2,5.00,,0.00,10.00,50.00,60.00,50.00,50.00
41,2,10.00,,0.00,10.00,60.00,80.00,50.00,50.00
