"Bag_ID","COMPANY_ID","Bag_Number","DESCRIPTION","UNIT_SIZE","COST","NOTES","DATE_EDITED"
1,1,5.00,"POLY 24 X 40",100.00,0.40,,
2,1,10.00,"POLY 24 X 40",80.00,0.38,,
3,1,15.00,"POLY 24 X 40",75.00,0.38,,
4,1,20.00,"POLY 24 X 40",50.00,0.38,,
5,1,25.00,"POLY 21 X 35 Laminated TMC 75#",75.00,0.36,,
6,1,30.00,"POLY 21 X 35 Clear Wolven  75#",75.00,0.33,,
7,1,32.00,"POLY 21 X 35 White Wolven 75#",75.00,0.33,,
8,1,40.00,"POLY 21 X 35",50.00,0.33,,
9,1,45.00,"POLY 21 X 35",25.00,0.33,,
10,1,47.00,"POLY  18 X 31  YELLOW GRAIN BAG",50.00,0.35,,
11,1,48.00,"POLY  18 X 31",25.00,0.36,,
12,1,50.00,"POLY 20 X 31 Nesbitt & Newhall",50.00,0.28,,
13,1,51.00,"POLY 20 X 31 Nesbitt & Newhall",40.00,0.28,,
14,1,52.00,"POLY 20 X 31 Nesbitt & Newhall",25.00,0.28,,
15,1,53.00,"POLY 18 X 27 Nesbitt & Newhall",20.00,0.31,,
16,1,55.00,"POLY 18 X 30 Laminated TMC 50#",50.00,0.31,,
17,1,61.00,"POLY 18 X 35 White Wolven 50#",50.00,0.35,,
18,1,65.00,"POLY 15 x 34 x 3.5  W. CUP Grit (PIGEON)",50.00,0.38,,
19,1,67.00,"POLY 12 X 18        W. CUP Grit (PIGEON)",20.00,0.25,,
20,1,70.00,"POLY 12 X 18  CAGE BIRD GRIT",25.00,0.27,,
21,1,72.00,,25.00,0.25,,
22,1,85.00,"POLY/LAM  PLAIN WHITE  15X34X3.5",50.00,0.40,,
23,1,87.00,"POLY/LAM  WHITE  15x34x3.5",40.00,0.40,,
25,1,95.00,"PLAIN WHITE PAPER/ HANDLE (Standard)",25.00,0.38,,
26,1,100.00,"PLAIN WHITE PAPER/ HANDLE (Standard)",20.00,0.38,,
27,1,105.00,"BIRDS DELIGHT",50.00,0.75,,
28,1,110.00,"BIRDS DELIGHT/Western Delight Paper .56",40.00,0.56,,
29,1,115.00,"BIRDS DELIGHT",25.00,0.60,,
30,1,120.00,"BIRDS DELIGHT/Western Delight Paper .43",20.00,0.43,,
31,1,130.00,"NATURE'S FEAST",50.00,0.48,,
32,1,135.00,"NATURE'S FEAST",40.00,0.48,,
33,1,140.00,"NATURE'S FEAST",25.00,0.60,,
34,1,145.00,"NATURE'S FEAST",20.00,0.60,,
35,1,150.00,"WINNER'S CUP PIGEON (PURPLE)",50.00,0.57,,
36,1,152.00,"WINNER'S CUP (PURPLE)",40.00,0.57,,
37,1,155.00,"WINNER'S CUP (WHITE)",50.00,0.56,,
38,1,165.00,"WINNER'S CUP (GUERRERO)",50.00,0.55,,
39,1,170.00,"WINNER'S CUP (GALLO DE ORO)",50.00,0.55,,
