id,company_id,formula_number,name,bag_id,markup_id,distrib1_markup,distrib2_markup,retail_list_markup,notes
5,1,"9-10050","BUCKWHEAT   50#",8,8,15,20,25,"Hi Country"
13,1,"9-11050","CANARY SEED 50#",22,6,10,50,,
14,1,"9-11402","CRACKED CORN  (WILD BIRD) 6/4#",270,14,,,,
18,1,"9-11550","CORN, R/C YELLOW  50#",10,6,15,20,25,
22,1,"9-12050","FLAX SEED  50#",45,6,10,0,0,
25,1,"9-12150","HEMP SEED  50#",45,8,10,20,25,
26,1,"9-12552","HEMP SEED   6/2#",68,28,30,40,,
28,1,"9-14005","MILLET SPRAY 5#",286,32,,,,
29,1,"9-14025","MILLET SPRAY 25#",47,31,,,,
30,1,"9-15750","MILLET, HULLED  50#",45,6,10,,,
33,1,"9-15850","MILLET, RED PROSO  50#",22,4,10,30,,
36,1,"9-16025","MILLET, WHITE PROSO 25#",29,5,,,,
37,1,"9-16050","MILLET, WHITE PROSO 50#",22,4,0,0,0,
44,1,"9-17050","MILLET, GOLDEN GERMAN  50#",45,6,,,,
45,1,"9-17300","MILO, RED/WHITE  50#",10,5,10,20,25,
51,1,"9-18120","NYJER SEED  20#",260,21,20,25,30,
53,1,"9-18150","NYJER SEED  50#",8,9,20,25,30,
54,1,"9-18950","OATS,  R/C   50#",10,5,10,15,20,
59,1,"9-19050","OAT  GROATS  50#",10,8,10,20,25,
62,1,"8-64750","OYSTER SHELL,  LAY",45,2,15,25,45,
65,1,"9-21104","PEANUTS, INSHELL  6/4#",270,25,15,30,35,
66,1,"9-21125","PEANUTS, INSHELL 25#",47,20,25,30,,
67,1,"9-21150","PEANUTS, INSHELL 50#",45,14,15,20,25,
70,1,"9-22125","PEANUTS, SHELLED 25#",25,26,30,,,
71,1,"9-22150","PEANUTS, SHELLED 50#",18,25,28,,,
74,1,"9-23150","PEAS, SPLIT GREEN   50#",41,4,,,,
75,1,"9-24100","PEAS, AUSTRIAN  50#",35,8,10,,,
76,1,"9-24250","PEAS, MAPLE  50#",37,8,10,,,
77,1,"9-24300","PEAS, YELLOW   50#",10,8,10,,,
82,1,"9-27050","PINE NUTS  50#",22,26,40,30,,
83,1,"9-27051","PINE NUTS   6/1#",266,30,35,40,,
85,1,"9-28050","POPCORN, YELLOW  50#",10,8,15,20,25,
89,1,"9-30050","PUMKIN SEED, WHITE 55#",44,18,,,,
92,1,"9-31050","RAPE SEED  50#",45,4,10,40,,
99,1,"9-32020","SAFFLOWER, R/C  20#",26,12,15,20,30,
100,1,"9-32050","SAFFLOWER, R/C  50#",8,6,15,25,30,
101,1,"9-33003","SUNFLOWER,  SBO 99%  6/3#",246,20,15,25,30,
106,1,"6-33320","WBU PREMIUM SM BLK OIL 20#",62,8,20,30,,
113,1,"9-35025","SUNFLOWER,  BLACK STRIPE  20#",30,15,15,20,25,
114,1,"9-35040","SUNFLOWER,  BLACK STRIPE  40#",258,8,15,20,25,
123,1,"9-39050","SUNFLOWER,  MED CHIPS  50#",27,16,15,25,30,
126,1,"9-40150","WHEAT, R/C  50#",10,4,15,20,,
127,1,"7-40205","WESTERN DELIGHT  Wild Bird   6/5#",245,13,25,35,,
128,1,"7-40210","WESTERN DELIGHT  Wild Bird   3/10#",247,12,15,25,30,
129,1,"7-40320","WESTERN DELIGHT Wild Bird    20#",30,11,25,30,35,
136,1,"7-40340","WESTERN DELIGHT Wild Bird    40#",28,10,25,30,35,
138,1,"7-40420","PREM  NO-WASTE  20#",239,14,15,25,30,
139,1,"7-40520","PREMIUM SEASON'S CHOICE  20#",239,15,25,35,,
140,1,"7-40620","PREMIUM  SUPERIOR BLEND  20#",239,14,15,25,30,
144,1,"7-40820","PREMIUM GARDEN MIX 20#",239,14,25,35,,
146,1,"7-63120","B.D. WILD BIRD (PREMIUM)  20#",30,16,25,30,35,
147,1,"7-63140","B.D. WILD BIRD (PREMIUM)  40#",28,14,25,30,35,
150,1,"7-42140","RENO SPECIAL WILD BIRD 40#",28,9,15,20,25,
154,1,"7-42320","NUTRENA WILD BIRD  20#",291,8,15,25,30,
155,1,"7-42340","NUTRENA WILD BIRD  40#",290,8,15,25,30,
159,1,"9-45250","8 BEAN MIX 50#",8,24,,,,
165,1,"5-46150","WESTERN FARM  11% PIGEON (POPC",8,8,20,25,30,"quoted 14.65 10/12/11"
166,1,"4-46250","PIGEON SELECT  12.0%  50#",35,10,20,24,28,"Change to 50 from 40 12/13
Price went down"
167,1,"5-46275","GEORGE'S 12.0% PIGEON 75#",6,7,15,20,25,
168,1,"4-46450","PIGEON DELUXE  14%  50#",35,10,15,25,30,"change to 50 from 40 12/13
price went down"
170,1,"4-46500","PIGEON RACE 15.0%  50#",35,10,15,25,30,"16.40 Dealer
15.45 Wholesale
10/20/11"
172,1,"4-46750","PIGEON PLATINUM 17.5%  50#",35,10,15,25,30,
178,1,"4-47150","PIGEON ECONOMY  11.0 %  50#",37,10,15,30,35,"Changed to 50 on 6l6/12
8/13  12.95"
179,1,"4-47350","PIGEON STANDARD 13.5%  50#",37,10,20,30,35,"changed to 50 on 6/6/12"
181,1,"4-47550","PIGEON CLASSIC 15.0%  50#",37,10,15,25,30,
183,1,"5-47800","NOBLE BROS. BREEDER MIX  50#",16,8,20,25,30,
184,1,"5-47850","NOBLE BROS. RACING MIX  50#",16,8,,,,
185,1,"5-47900","HUNT & BEHRENS  12% PIGEON MIX",8,8,20,25,30,
186,1,"5-47950","HUNT & BEHREN'S  RACING PIGEON",8,8,,,,"11\07\11 priced order at 9.75"
191,1,"5-48150","PURNIA PIGEON 11%  (DENT CORN)",37,8,15,25,30,
